N° ocorrência;Data;Matrícula;Classificação;Tipo;Localidade;UF;Aeródromo;Operação;Status
77649;19/01/2018;PRJAO;ACIDENTE;OPERAÇÃO A BAIXA ALTITUDE;QUATRO IRMÃOS;RS;***;AGRÍCOLA;FINALIZADA
77657;18/01/2018;PRARH;ACIDENTE;OPERAÇÃO A BAIXA ALTITUDE;ITABELA;BA;***;AGRÍCOLA;FINALIZADA
77656;18/01/2018;PTWYQ;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CAMPO GRANDE;MS;SBCG;TÁXI AÉREO;FINALIZADA
77650;18/01/2018;PPHOJ;ACIDENTE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;JUIZ DE FORA;MG;SBJF;INSTRUÇÃO;FINALIZADA
77643;17/01/2018;PROBJ;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
77641;15/01/2018;PRAQM;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;VITÓRIA DA CONQUISTA;BA;SBVC;REGULAR;FINALIZADA
77640;15/01/2018;PUHCJ;ACIDENTE;PERDA DE CONTROLE EM VOO;AQUIRAZ;CE;***;EXPERIMENTAL;FINALIZADA
77636;14/01/2018;PRSKK;ACIDENTE;OUTROS;JUNDIAÍ;SP;SBJD;INSTRUÇÃO;FINALIZADA
77672;13/01/2018;PRGAT;ACIDENTE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;FORMOSA DO RIO PRETO;BA;SNFS;AGRÍCOLA;FINALIZADA
77642;13/01/2018;PPMVS;ACIDENTE;OUTROS;LINHARES;ES;***;INSTRUÇÃO;FINALIZADA
77632;12/01/2018;PRTTW;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
77637;11/01/2018;PTKDN;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BENTO GONÇALVES;RS;***;PRIVADA;FINALIZADA
77682;10/01/2018;PRAYN;INCIDENTE;COLISÃO COM AVE;BELÉM;PA;SBBE;REGULAR;FINALIZADA
77639;10/01/2018;PRNAS;ACIDENTE;INDETERMINADO;DOM PEDRITO;RS;SSFC;AGRÍCOLA;FINALIZADA
77638;10/01/2018;PTWKV;ACIDENTE;INDETERMINADO;DOM PEDRITO;RS;SSFC;AGRÍCOLA;FINALIZADA
77630;10/01/2018;PTWNU;ACIDENTE;OUTROS;SÃO LOURENÇO DO SUL;RS;***;AGRÍCOLA;FINALIZADA
77612;06/01/2018;PUXXX12;ACIDENTE;***;ITAPEMA;SC;***;AERODESPORTIVA;FINALIZADA
77627;05/01/2018;PTETB;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;LONDRINA;PR;SBLO;INSTRUÇÃO;FINALIZADA
77622;05/01/2018;PROCI;INCIDENTE;OUTROS;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
77614;05/01/2018;PRAVQ;INCIDENTE;PERDA DE CONTROLE NO SOLO;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
77631;04/01/2018;PTDIV;INCIDENTE;CONTATO ANORMAL COM A PISTA;BELO HORIZONTE;MG;SBBH;PRIVADA;FINALIZADA
77617;04/01/2018;PRDVE;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CAMPO GRANDE;MS;SBCG;PRIVADA;FINALIZADA
77616;04/01/2018;PUCHO;INCIDENTE GRAVE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;PORTO SEGURO;BA;***;PRIVADA;FINALIZADA
77610;04/01/2018;PPSCF;INCIDENTE GRAVE;CONTATO ANORMAL COM A PISTA;RIO DE JANEIRO;RJ;SBGL;PRIVADA;FINALIZADA
77608;03/01/2018;PTUDW;INCIDENTE GRAVE;***;ARROIO GRANDE;RS;***;AGRÍCOLA;NULL
77607;03/01/2018;PUZBO;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;PORTO SEGURO;BA;SBPS;EXPERIMENTAL;FINALIZADA
77200;30/12/2017;PRMLY;ACIDENTE;PERDA DE CONTROLE EM VOO;DOM PEDRITO;RS;***;AGRÍCOLA;FINALIZADA
77202;29/12/2017;PPWGS;INCIDENTE GRAVE;EXCURSÃO DE PISTA;UBATUBA;SP;SDUB;PRIVADA;FINALIZADA
77203;28/12/2017;PRGNL;INCIDENTE;***;ARAGUAÍNA;TO;SWGN;PRIVADA;FINALIZADA
77206;27/12/2017;PREDR;INCIDENTE GRAVE;PERDA DE CONTROLE EM VOO;EDÉIA;GO;APUA;AGRÍCOLA;FINALIZADA
77205;27/12/2017;PRRMZ;INCIDENTE;***;PORTO SEGURO;BA;***;PRIVADA;FINALIZADA
77209;26/12/2017;PRHAA;INCIDENTE;***;SÃO PAULO;SP;SIBH;PRIVADA;FINALIZADA
77208;26/12/2017;PRIMN;INCIDENTE;***;RIO DE JANEIRO;RJ;SBRJ;PRIVADA;FINALIZADA
77213;23/12/2017;PRHHG;INCIDENTE GRAVE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CATUTI;MG;***;PRIVADA;FINALIZADA
77211;23/12/2017;PRBGT;INCIDENTE;***;CABO FRIO;RJ;SBCB;PRIVADA;FINALIZADA
77230;15/12/2017;PRONU;INCIDENTE;***;LONDRINA;PR;SBLO;INSTRUÇÃO;FINALIZADA
77239;13/12/2017;PRZTL;INCIDENTE;***;PORTO ALEGRE;RS;SBPA;EXPERIMENTAL;FINALIZADA
77244;11/12/2017;PPHRE;INCIDENTE GRAVE;***;CAMPINAS;SP;SDAM;INSTRUÇÃO;NULL
77247;10/12/2017;PTRMB;INCIDENTE;***;SÃO PAULO;SP;SBSP;PRIVADA;FINALIZADA
77245;10/12/2017;PRZHD;INCIDENTE;***;SÃO PAULO;SP;SBMT;PRIVADA;FINALIZADA
